"filename", "language", "HTML", "JavaScript", "Less", "CSS", "XML", "SCSS", "comment", "blank", "total"
"d:\毕设\AIForge-frontend\src\App.vue", "HTML", 42, 0, 0, 0, 0, 0, 0, 6, 48
"d:\毕设\AIForge-frontend\src\assets\base.css", "CSS", 0, 0, 0, 71, 0, 0, 2, 14, 87
"d:\毕设\AIForge-frontend\src\assets\css\Log.scss", "SCSS", 0, 0, 0, 0, 0, 193, 0, 32, 225
"d:\毕设\AIForge-frontend\src\assets\css\ModelCard.scss", "SCSS", 0, 0, 0, 0, 0, 69, 0, 14, 83
"d:\毕设\AIForge-frontend\src\assets\css\ModelDetail.scss", "SCSS", 0, 0, 0, 0, 0, 106, 0, 19, 125
"d:\毕设\AIForge-frontend\src\assets\css\ModelSquare.scss", "SCSS", 0, 0, 0, 0, 0, 33, 2, 5, 40
"d:\毕设\AIForge-frontend\src\assets\css\Pay.scss", "SCSS", 0, 0, 0, 0, 0, 85, 0, 15, 100
"d:\毕设\AIForge-frontend\src\assets\css\Search.scss", "SCSS", 0, 0, 0, 0, 0, 312, 2, 49, 363
"d:\毕设\AIForge-frontend\src\assets\css\components\Bar.scss", "SCSS", 0, 0, 0, 0, 0, 23, 4, 1, 28
"d:\毕设\AIForge-frontend\src\assets\css\home.scss", "SCSS", 0, 0, 0, 0, 0, 125, 1, 24, 150
"d:\毕设\AIForge-frontend\src\assets\css\models.scss", "SCSS", 0, 0, 0, 0, 0, 141, 2, 32, 175
"d:\毕设\AIForge-frontend\src\assets\css\p.scss", "SCSS", 0, 0, 0, 0, 0, 85, 0, 15, 100
"d:\毕设\AIForge-frontend\src\assets\css\project\RunProject.scss", "SCSS", 0, 0, 0, 0, 0, 168, 28, 29, 225
"d:\毕设\AIForge-frontend\src\assets\css\project\createProject.scss", "SCSS", 0, 0, 0, 0, 0, 223, 8, 43, 274
"d:\毕设\AIForge-frontend\src\assets\css\project\project.scss", "SCSS", 0, 0, 0, 0, 0, 64, 0, 11, 75
"d:\毕设\AIForge-frontend\src\assets\css\project\projectDisplay.scss", "SCSS", 0, 0, 0, 0, 0, 87, 7, 19, 113
"d:\毕设\AIForge-frontend\src\assets\icon\BackIcon.vue", "HTML", 15, 0, 0, 0, 0, 0, 0, 4, 19
"d:\毕设\AIForge-frontend\src\assets\icon\BigDeleteIcon.vue", "HTML", 26, 0, 0, 0, 0, 0, 0, 3, 29
"d:\毕设\AIForge-frontend\src\assets\icon\CreateIcon.vue", "HTML", 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\毕设\AIForge-frontend\src\assets\icon\DatasetIcon.vue", "HTML", 23, 0, 0, 0, 0, 0, 0, 7, 30
"d:\毕设\AIForge-frontend\src\assets\icon\DeleteIcon.vue", "HTML", 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\毕设\AIForge-frontend\src\assets\icon\EditIcon.vue", "HTML", 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\毕设\AIForge-frontend\src\assets\icon\HeartIcon.vue", "HTML", 25, 0, 0, 0, 0, 0, 0, 2, 27
"d:\毕设\AIForge-frontend\src\assets\icon\PreviousStepIcon.vue", "HTML", 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\毕设\AIForge-frontend\src\assets\icon\RunIcon.vue", "HTML", 33, 0, 0, 0, 0, 0, 0, 3, 36
"d:\毕设\AIForge-frontend\src\assets\icon\TestIcon.vue", "HTML", 18, 0, 0, 0, 0, 0, 0, 5, 23
"d:\毕设\AIForge-frontend\src\assets\icon\TickIcon.vue", "HTML", 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\毕设\AIForge-frontend\src\assets\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\毕设\AIForge-frontend\src\assets\main.css", "CSS", 0, 0, 0, 27, 0, 0, 0, 7, 34
"d:\毕设\AIForge-frontend\src\components\Checkbox.vue", "HTML", 233, 0, 0, 0, 0, 0, 0, 2, 235
"d:\毕设\AIForge-frontend\src\components\CreateDialog.vue", "HTML", 422, 0, 0, 0, 0, 0, 0, 56, 478
"d:\毕设\AIForge-frontend\src\components\FolderTree.vue", "HTML", 61, 0, 0, 0, 0, 0, 3, 8, 72
"d:\毕设\AIForge-frontend\src\components\FolderTree_备份.vue", "HTML", 456, 0, 0, 0, 0, 0, 3, 30, 489
"d:\毕设\AIForge-frontend\src\components\Sidebar.vue", "HTML", 95, 0, 0, 0, 0, 0, 0, 14, 109
"d:\毕设\AIForge-frontend\src\components\TalkTool.vue", "HTML", 105, 0, 0, 0, 0, 0, 0, 17, 122
"d:\毕设\AIForge-frontend\src\components\Toast.vue", "HTML", 86, 0, 0, 0, 0, 0, 0, 13, 99
"d:\毕设\AIForge-frontend\src\components\Upperbar.vue", "HTML", 275, 0, 0, 0, 0, 0, 0, 27, 302
"d:\毕设\AIForge-frontend\src\components\UpperbarNoSearch.vue", "HTML", 225, 0, 0, 0, 0, 0, 0, 20, 245
"d:\毕设\AIForge-frontend\src\components\home\Log.vue", "HTML", 435, 0, 0, 0, 0, 0, 4, 42, 481
"d:\毕设\AIForge-frontend\src\components\model\ModelCard.vue", "HTML", 190, 0, 0, 0, 0, 0, 0, 30, 220
"d:\毕设\AIForge-frontend\src\components\project\ProjectDisplay.vue", "HTML", 223, 0, 0, 0, 0, 0, 5, 31, 259
